#rnd_rate,wrt_rate,io_size,1_iops,device,cpu,OLS,MARS
0.2,1,0.03125,0.0001019654,1,0.19675,0.1640749056,0.1865909642
0.2,1,0.0625,0.0008080808,0,0.05495,0.0590992999,0.0479291471
0.2,1,0.0625,0.0001769912,1,0.142975,0.1618885796,0.1436655446
0.2,1,0.125,0.0012775471,0,0.030975,0.0545878262,0.0438527901
0.2,1,0.125,0.0003216468,1,0.1088,0.1575182729,0.10832426
0.2,1,0.25,0.0012476606,0,0.0354,0.0459859403,0.0454224854
0.2,1,0.25,0.0005951495,1,0.092225,0.1487845301,0.0794616081
0.2,1,0.5,0.0030840401,0,0.0326,0.0279580759,0.0295333799
0.2,1,0.5,0.0011813349,1,0.093275,0.1313000163,0.0725969353
0.2,1,1,0.0076045627,0,0.01955,-0.008466102,0.0250340979
0.2,1,1,0.0022484542,1,0.060325,0.0963767324,0.0669671519
0.4,0,0.001953125,0.0021586616,0,0.02915,0.02498575,0.0246712291
0.4,0,0.001953125,0.0001103509,1,0.1254,0.1283909724,0.1674405121
0.4,0,0.00390625,0.0021516945,0,0.028075,0.0248541706,0.0247609872
0.4,0,0.00390625,0.0001162419,1,0.134625,0.1282538047,0.1606013311
0.4,0,0.0078125,0.0021680217,0,0.0226,0.0245778597,0.0246368187
0.4,0,0.0078125,0.0001256518,1,0.12265,0.1279805002,0.1565175183
0.4,0,0.015625,0.0021715527,0,0.02265,0.0240378954,0.0246807452
0.4,0,0.015625,0.0001429899,1,0.114625,0.1274345351,0.1489993354
0.4,0,0.03125,0.0023337223,0,0.024225,0.022890555,0.0232120429
0.4,0,0.03125,0.0001879611,1,0.125825,0.1263381307,0.1294517199
0.4,0,0.0625,0.0025188917,0,0.026125,0.0206563592,0.0216712525
0.4,0,0.0625,0.0002599259,1,0.111725,0.1241531351,0.1053999484
0.4,0,0.125,0.003021148,0,0.024625,0.0161306346,0.0172658368
0.4,0,0.125,0.0003721623,1,0.06795,0.1197969182,0.0936694978
0.4,0,0.25,0.0041710115,0,0.02405,0.007016014,0.0102488766
0.4,0,0.25,0.0006363347,1,0.062925,0.1110672304,0.0664372767
0.4,0,0.5,0.005952381,0,0.0173,-0.0109879424,0.0117908597
0.4,0,0.5,0.0012353305,1,0.08515,0.0935771491,0.0629657127
0.4,0,1,0.0097323601,0,0.01395,-0.0470902704,0.0147531713
0.4,0,1,0.0022038567,1,0.059175,0.058696715,0.0583253414
0.4,0.2,0.001953125,0.0090909091,0,0.006775,0.0285865051,0.0067918961
0.4,0.2,0.001953125,0.000109553,1,0.1531,0.1350049192,0.1701873903
0.4,0.2,0.00390625,0.0099009901,0,0.0063,0.0280998259,0.006358091
0.4,0.2,0.00390625,0.0001202935,1,0.171825,0.1348656438,0.1606437144
0.4,0.2,0.0078125,0.010230179,0,0.005325,0.0276875413,0.0062134257
0.4,0.2,0.0078125,0.0001438073,1,0.158725,0.1345862096,0.1503796715
0.4,0.2,0.015625,0.0117302053,0,0.004725,0.0264971807,0.0054527719
0.4,0.2,0.015625,0.0001901683,1,0.1389,0.1340276308,0.1301436735
0.4,0.2,0.03125,0.014084507,0,0.004175,0.0243971112,0.0042930848
0.4,0.2,0.03125,0.0002613354,1,0.105525,0.1329198413,0.1067450885
0.4,0.2,0.0625,0.0162601626,0,0.003775,0.0212978242,0.0033921614
0.4,0.2,0.0625,0.0003673095,1,0.1056,0.1307200648,0.095387127
0.4,0.2,0.125,0.0176211454,0,0.003925,0.0163988859,0.0032648986
0.4,0.2,0.125,0.0005011275,1,0.078675,0.1263544682,0.0812789663
0.4,0.2,0.25,0.018018018,0,0.004975,0.0076115249,0.0043124249
0.4,0.2,0.25,0.0008453085,1,0.06075,0.1175900077,0.0661580295
0.4,0.2,0.5,0.0181818182,0,0.0039,-0.0096894148,0.0067602468
0.4,0.2,0.5,0.0014577259,1,0.0756,0.1000940931,0.0625517748
0.4,0.2,1,0.0099255583,0,0.01435,-0.0405606369,0.0164628523
0.4,0.2,1,0.0025094103,1,0.060025,0.0651775175,0.0570768859
0.4,0.4,0.001953125,0.0068376068,0,0.0099,0.0361794195,0.0098716174
0.4,0.4,0.001953125,0.000105031,1,0.181725,0.1416204845,0.1772703874
0.4,0.4,0.00390625,0.006504065,0,0.009525,0.0361897737,0.010078241
0.4,0.4,0.00390625,0.0001083101,1,0.1742,0.141484452,0.1734722796
0.4,0.4,0.0078125,0.0039408867,0,0.01465,0.0370345495,0.0115533014
0.4,0.4,0.0078125,0.0001388648,1,0.151775,0.1412019577,0.1543633515
0.4,0.4,0.015625,0.0040650407,0,0.0146,0.0364421609,0.0115631361
0.4,0.4,0.015625,0.0002023677,1,0.117675,0.1406359288,0.1266157753
0.4,0.4,0.03125,0.0042060988,0,0.01445,0.0353039958,0.0116428654
0.4,0.4,0.03125,0.0002964061,1,0.11635,0.1395181991,0.1046991454
0.4,0.4,0.0625,0.0042194093,0,0.01695,0.0331444922,0.0119528553
0.4,0.4,0.0625,0.0004235045,1,0.084875,0.1373092417,0.0910138609
0.4,0.4,0.125,0.0045248869,0,0.017775,0.0287042901,0.0124166753
0.4,0.4,0.125,0.0006197707,1,0.07265,0.1329165044,0.0700256475
0.4,0.4,0.25,0.0050890585,0,0.01875,0.0198442188,0.0133705142
0.4,0.4,0.25,0.0009130336,1,0.060425,0.1241741735,0.0672962592
0.4,0.4,0.5,0.0057471264,0,0.007525,0.0023284639,0.0155415462
0.4,0.4,0.5,0.0015879317,1,0.06945,0.106651104,0.0630629902
0.4,0.4,1,0.0082644628,0,0.012225,-0.0332251032,0.0192109378
0.4,0.4,1,0.00276434,1,0.05455,0.0716803217,0.0563364565
0.4,0.6,0.001953125,0.0086956522,0,0.00625,0.0419854889,0.010648984
0.4,0.6,0.001953125,9.2368086826E-05,1,0.208475,0.148239588,0.1938319914
0.4,0.6,0.00390625,0.0064935065,0,0.008425,0.0428079626,0.0119020258
0.4,0.6,0.00390625,9.83888820563E-05,1,0.20735,0.1481023639,0.1868416673
0.4,0.6,0.0078125,0.0055020633,0,0.00935,0.0429696419,0.0124969145
0.4,0.6,0.0078125,0.0001285141,1,0.1547,0.1478200562,0.1607169038
0.4,0.6,0.015625,0.0056818182,0,0.0101,0.0423530884,0.0124756127
0.4,0.6,0.015625,0.000198334,1,0.1216,0.1472512819,0.1302012153
0.4,0.6,0.03125,0.0056737589,0,0.01055,0.0412797317,0.0126388478
0.4,0.6,0.03125,0.0003023889,1,0.091425,0.1461291989,0.1058578789
0.4,0.6,0.0625,0.0052356021,0,0.012475,0.0393164416,0.0132016593
0.4,0.6,0.0625,0.0003905869,1,0.074675,0.1439371482,0.096458346
