#rnd_rate;wrt_rate;io_size;ssd_iops;ssd_tot_cpu;hdd_iops;hdd_tot_cpu
0.4;1.0;0.0625;0.000193977013724;0.188775;0.0014652014652;0.0436
0.4;1.0;0.125;0.000315930811152;0.108925;0.00173988690735;0.037975
0.4;1.0;0.25;0.000608457560085;0.07575;0.0022766078543;0.03845
0.4;1.0;0.5;0.00123954136969;0.105125;0.00197433366239;0.0353
0.4;1.0;1.0;0.00225606316977;0.055725;0.0070796460177;0.01495
0.6;0.0;0.001953125;0.000109493047192;0.112625;0.00313725490196;0.022875
0.6;0.0;0.00390625;0.000120776593496;0.139975;0.003108003108;0.02425
0.6;0.0;0.0078125;0.000130280428623;0.136875;0.00312012480499;0.01965
0.6;0.0;0.015625;0.000151417647727;0.132925;0.00311041990669;0.017225
0.6;0.0;0.03125;0.000191525017955;0.135975;0.00325467860049;0.018975
0.6;0.0;0.0625;0.000242644828632;0.06415;0.00347826086957;0.019225
0.6;0.0;0.125;0.000387859982546;0.08875;0.00397219463754;0.01925
0.6;0.0;0.25;0.000635828962009;0.058725;0.00506970849176;0.020025
0.6;0.0;0.5;0.00124107973937;0.08675;0.00679117147708;0.016225
0.6;0.0;1.0;0.00220872446162;0.06125;0.0111111111111;0.013075
0.6;0.2;0.001953125;0.00011571060777;0.176875;0.00881057268722;0.006925
0.6;0.2;0.00390625;0.0001178133836;0.16375;0.00877192982456;0.007
0.6;0.2;0.0078125;0.000144812106292;0.1686;0.00941176470588;0.005875
0.6;0.2;0.015625;0.000188928773852;0.130975;0.010781671159;0.005275
0.6;0.2;0.03125;0.000252381853745;0.1099;0.0121580547112;0.004775
0.6;0.2;0.0625;0.000355713650511;0.086775;0.0150943396226;0.004175
0.6;0.2;0.125;0.000524727797455;0.0715;0.0162601626016;0.0043
0.6;0.2;0.25;0.000876232201533;0.05415;0.0165975103734;0.00525
0.6;0.2;0.5;0.0014657383657;0.0719;0.00759013282732;0.0156
0.6;0.2;1.0;0.00255264837269;0.059075;0.010781671159;0.014975
0.6;0.4;0.001953125;0.00010649910807;0.18875;0.00662251655629;0.01045
0.6;0.4;0.00390625;0.00011291142099;0.1916;0.00514800514801;0.01465
0.6;0.4;0.0078125;0.000141357741103;0.156675;0.00436205016358;0.01285
0.6;0.4;0.015625;0.000203179763296;0.1353;0.00433839479393;0.01415
0.6;0.4;0.03125;0.000293923139099;0.104125;0.00454029511918;0.0141
0.6;0.4;0.0625;0.000407124681934;0.0988;0.00457142857143;0.01535
0.6;0.4;0.125;0.000554785020804;0.066075;0.00471142520612;0.0171
0.6;0.4;0.25;0.000922722029988;0.0553;0.00527009222661;0.01905
0.6;0.4;0.5;0.00157356412274;0.073275;0.00701754385965;0.0187
0.6;0.4;1.0;0.00276816608997;0.0526;0.0112359550562;0.01525
0.6;0.6;0.001953125;9.1407678245e-05;0.195125;0.00952380952381;0.005725
0.6;0.6;0.00390625;9.53357008366e-05;0.19445;0.00613496932515;0.009
