#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
4;0;100;128;5.67;4.86;1602;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;413737;0;0;0.0;0.0;3232;495;287;971;304.79;20.7
1;0;100;256;8.44;0.84;803;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;431157;0;0;0.0;0.0;1684;475;545;1392;589.71;41.02
2;0;100;256;6.1;2.61;802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;445217;0;0;0.0;0.0;1739;460;484;1190;571.09;28.85
3;0;100;256;8.32;0.83;802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;424896;0;0;0.0;0.0;1659;482;466;1171;598.99;37.46
4;0;100;256;7.84;0.0;802;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;445217;0;0;0.0;0.0;1739;460;545;1218;570.91;27.5
1;0;100;512;10.06;1.68;402;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;428451;0;0;0.0;0.0;836;478;1068;1716;1185.16;37.56
2;0;100;512;7.61;3.38;403;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;432067;0;0;0.0;0.0;843;474;1028;1693;1175.65;35.78
3;0;100;512;5.12;3.41;402;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;435744;0;0;0.0;0.0;851;470;1049;1686;1165.82;32.56
4;0;100;512;6.79;1.7;403;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;433898;0;0;0.0;0.0;847;472;1112;1739;1172.47;31.02
1;0;100;1024;3.68;1.84;202;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;469724;0;0;0.0;0.0;458;436;2062;2637;2171.54;47.7
2;0;100;1024;3.65;2.74;202;7;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;466514;0;0;0.0;0.0;455;439;2104;2648;2184.7;44.2
3;0;100;1024;5.52;0.92;203;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;469724;0;0;0.0;0.0;458;436;2110;2249;2170.19;28.19
4;0;100;1024;5.47;1.82;203;6;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;204800;465454;0;0;0.0;0.0;454;440;2068;2706;2191.32;51.43
1;20;0;2;7.52;1.66;102411;5;0;204800;21258;19940;21780;21258.32;455.73;10629;9634;0;1405;93.13;29.62;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;2;12.55;2.48;102407;5;0;204800;19835;18044;21076;19801.4;986.05;9917;10325;0;1424;99.39;30.13;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;2;11.76;2.26;102408;5;0;204800;19298;17812;20296;19301.14;803.64;9649;10612;3;1409;101.84;30.2;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;2;9.71;2.74;102409;5;0;204800;19732;18404;21384;19783.0;1021.27;9866;10379;23;1407;99.72;30.25;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;4;12.56;2.67;51204;5;0;204800;35910;33400;40288;35954.91;2405.28;8977;5703;28;794;109.35;30.97;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;4;10.63;2.02;51206;6;0;204800;38316;33888;40864;38152.8;2633.73;9579;5345;27;724;103.12;30.91;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;4;10.78;3.18;51204;5;0;204800;37020;34000;40088;36991.27;2155.08;9255;5532;6;1114;106.41;31.2;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
